tag,votes,occurrences
warhammer 40k,4556,26
chess,1993,26
photo editing,1354,25
sokoban,2443,25
cooking,2241,25
music-based procedural generation,2150,25
web publishing,964,25
sniper,4160,24
fishing,3077,24
football (american),3679,24
heist,10072,24
automation,8829,24
tutorial,2740,24
trackir,2485,23
lego,8048,23
solitaire,2717,23
idler,5304,23
mars,1414,22
dynamic narration,3318,22
minigames,1436,22
movie,1618,22
motorbike,965,21
mystery dungeon,2717,21
snow,1771,21
farming,1361,21
sailing,4789,20
word game,1164,20
vikings,642,20
creature collector,2137,20
transportation,17591,20
werewolves,1727,20
horses,2899,20
3d fighter,5325,20
pinball,1530,19
golf,1088,18
basketball,2410,17
jump scare,1783,17
bikes,563,17
gambling,1418,16
underground,3126,16
hero shooter,125799,16
spaceships,2269,15
action rts,4595,15
lemmings,1097,15
vr only,15,15
trivia,814,14
mahjong,309,14
submarine,969,14
looter shooter,50236,14
battle royale,2909,13
transhumanism,4437,13
gaming,1002,11
jet,1165,11
mini golf,1154,11
benchmark,882,11
baseball,845,10
unforgiving,3774,10
archery,481,10
asymmetric vr,462,9
narrative,2709,9
pool,433,9
reboot,1797,9
intentionally awkward controls,1712,9
experience,569,9
spelling,392,8
dungeons & dragons,1868,8
boxing,680,8
wrestling,1847,8
musou,731,8
ambient,1474,8
roguelike deckbuilder,1470,8
motocross,438,8
voice control,306,7
snooker,132,7
roguevania,2497,7
social deduction,2781,7
tennis,431,6
well-written,1576,6
skiing,296,6
masterpiece,263,6
medical sim,1475,6
documentary,587,6
hockey,602,5
rugby,215,5
atv,292,5
360 video,185,5
cricket,131,5
faith,197,5
cycling,287,5
auto battler,871,5
football,664,5
skateboarding,273,4
bowling,301,4
dice,38,4
fox,61,4
outbreak sim,2948,4
boss rush,890,4
skating,407,4
birds,193,4
wholesome,637,3
cozy,428,3
soccer,671,3
electronic music,332,3
steam machine,83,3
job simulator,120,3
elf,18,3
snowboarding,256,3
feature film,81,3
foreign,408,3
coding,18,2
shop keeper,84,2
bmx,260,2
hardware,45,2
star wars,20,1
hobby sim,11,1
philisophical,10,1
